#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_bystrovo;Bystrovo;Bystrovo;Bystrovo;;Bystrovo;;;;;;;;;x
c_bystrovo_adj;Bystrovian;;bystrover;;;;;;;;;;;x
c_chereborg;Chereborg;Chereborg;Chereborg;;Chereborg;;;;;;;;;x
c_chereborg_adj;Chereborgian;;chereborger;;;;;;;;;;;x
c_duya;Duya;Duya;Duya;;Duya;;;;;;;;;x
c_duya_adj;Duyan;;duer;;;;;;;;;;;x
c_kolovo;Kolovo;Kolovo;Kolovo;;Kolovo;;;;;;;;;x
c_kolovo_adj;Kolovian;;kolover;;;;;;;;;;;x
c_lyuboslavsk;Lyuboslavsk;Lyuboslavsk;Lyuboslavsk;;Lyuboslavsk;;;;;;;;;x
c_lyuboslavsk_adj;Lyuboslavskian;;lyuboslavsker;;;;;;;;;;;x
c_morozko;Morozko;Morozko;Morozko;;Morozko;;;;;;;;;x
c_morozko_adj;Morozkian;;morozker;;;;;;;;;;;x
c_mytiborg;Mytiborg;Mytiborg;Mytiborg;;Mytiborg;;;;;;;;;x
c_mytiborg_adj;Mytiborgian;;mytiborger;;;;;;;;;;;x
c_nizhniy_kamen;Nizhniy Kamen;Nizhniy Kamen;Nizhniy Kamen;;Nizhniy Kamen;;;;;;;;;x
c_nizhniy_kamen_adj;Nizhniy Kamenian;;Nizhniy Kamener;;;;;;;;;;;x
c_nova_roma;Nova Roma;Nova Roma;Nova Roma;;Nova Roma;;;;;;;;;x
c_nova_roma_adj;Nova Roman;;Nova Romer;;;;;;;;;;;x
c_rensk;Rensk;Rensk;Rensk;;Rensk;;;;;;;;;x
c_rensk_adj;Renskian;;rensker;;;;;;;;;;;x
c_solirino;Solirino;Solirino;Solirino;;Solirino;;;;;;;;;x
c_solirino_adj;Solirinian;;soliriner;;;;;;;;;;;x
c_stargorod;Stargorod;Stargorod;Stargorod;;Stargorod;;;;;;;;;x
c_stargorod_adj;Stargorodian;;stargoroder;;;;;;;;;;;x
c_tolyarovsk;Tolyarovsk;Tolyarovsk;Tolyarovsk;;Tolyarovsk;;;;;;;;;x
c_tolyarovsk_adj;Tolyarovskian;;tolyarovsker;;;;;;;;;;;x
c_tura;Tura;Tura;Tura;;Tura;;;;;;;;;x
c_tura_adj;Turan;;turer;;;;;;;;;;;x
c_tyalesh;Tyalesh;Tyalesh;Tyalesh;;Tyalesh;;;;;;;;;x
c_tyalesh_adj;Tyaleshian;;tyalesher;;;;;;;;;;;x
c_usokovo;Usokovo;Usokovo;Usokovo;;Usokovo;;;;;;;;;x
c_usokovo_adj;Usokovian;;usokover;;;;;;;;;;;x
c_vendery;Vendery;Vendery;Vendery;;Vendery;;;;;;;;;x
c_vendery_adj;Venderian;;venderer;;;;;;;;;;;x
c_yaroslavgorod;Yaroslavgorod;Yaroslavgorod;Yaroslavgorod;;Yaroslavgorod;;;;;;;;;x
c_yaroslavgorod_adj;Yaroslavgorodian;;yaroslavgoroder;;;;;;;;;;;x
c_yelamysk;Yelamysk;Yelamysk;Yelamysk;;Yelamysk;;;;;;;;;x
c_yelamysk_adj;Yelamyskian;;yelamysker;;;;;;;;;;;x
c_yuzhnomorsk;Yuzhnomorsk;Yuzhnomorsk;Yuzhnomorsk;;Yuzhnomorsk;;;;;;;;;x
c_yuzhnomorsk_adj;Yuzhnomorskian;;yuzhnomorsker;;;;;;;;;;;x
